team1_rush_att,team1_rush_yds,team1_rush_tds,team1_pass_cmp,team1_pass_att,team1_pass_cmp_pct,team1_pass_yds,team1_pass_tds,team1_pass_int,team1_passer_rating,team1_net_pass_yds,team1_total_yds,team1_times_sacked,team1_yds_sacked_for,team1_fumbles,team1_fumbles_lost,team1_turnovers,team1_penalties,team1_penalty_yds,team1_first_downs,team1_third_down_conv,team1_third_down_att,team1_third_down_conv_pct,team1_fourth_down_conv,team1_fourth_down_att,team1_fourth_down_conv_pct,team1_time_of_possession,team2_rush_att,team2_rush_yds,team2_rush_tds,team2_pass_cmp,team2_pass_att,team2_pass_cmp_pct,team2_pass_yds,team2_pass_tds,team2_pass_int,team2_passer_rating,team2_net_pass_yds,team2_total_yds,team2_times_sacked,team2_yds_sacked_for,team2_fumbles,team2_fumbles_lost,team2_turnovers,team2_penalties,team2_penalty_yds,team2_first_downs,team2_third_down_conv,team2_third_down_att,team2_third_down_conv_pct,team2_fourth_down_conv,team2_fourth_down_att,team2_fourth_down_conv_pct,team2_time_of_possession,team1_win
18,60,0,42,58,0.7241379310344828,403,3,1,101.437,391,451,1,12,1,0,1,8,55,30,9,17,0.529,0,0,0.0,2067,14,52,0,32,50,0.64,379,4,2,97.0,379,431,0,0,2,2,4,11,106,24,5,11,0.455,0,0,0.0,1533,0
31,173,1,27,35,0.7714285714285715,264,3,0,126.369,261,434,1,3,2,0,0,14,89,24,6,13,0.462,0,2,0.0,1862,26,124,0,21,35,0.6,164,0,0,71.607,136,260,3,28,1,0,0,12,99,19,3,14,0.214,1,3,0.333,1738,1
25,117,0,30,51,0.5882352941176471,270,1,0,79.698,254,371,3,16,4,1,1,8,81,22,8,18,0.444,1,3,0.333,1997,21,75,0,18,32,0.5625,188,1,0,83.854,177,252,2,11,1,0,0,5,32,16,4,12,0.333,0,0,0.0,1603,0
27,111,1,24,35,0.6857142857142857,279,1,0,101.964,270,381,1,9,1,1,1,6,38,18,4,14,0.286,0,1,0.0,1880,17,45,0,20,37,0.5405405405405406,258,2,1,82.939,207,252,6,51,1,0,1,5,30,16,4,13,0.308,1,2,0.5,1720,1
36,149,1,20,27,0.7407407407407407,261,2,0,128.781,217,366,5,44,0,0,0,3,15,20,3,14,0.214,2,3,0.667,2091,22,67,1,37,50,0.74,362,2,0,107.25,336,403,3,26,1,1,1,12,116,24,6,16,0.375,2,2,1.0,2109,1
27,140,0,18,23,0.782608695652174,254,4,0,152.264,241,381,3,13,1,1,1,7,53,18,4,9,0.444,0,0,0.0,1453,30,113,0,25,38,0.6578947368421053,251,2,0,101.974,223,336,3,28,1,1,1,2,16,23,5,13,0.385,0,3,0.0,2147,1
33,136,1,21,32,0.65625,289,4,1,120.964,280,416,2,9,1,0,1,8,59,22,7,13,0.538,0,0,0.0,2001,22,86,1,22,36,0.6111111111111112,218,1,1,75.926,162,248,6,56,2,2,3,7,57,17,5,14,0.357,1,3,0.333,1599,1
24,116,1,38,57,0.6666666666666666,338,3,1,92.58,314,430,3,24,0,0,1,5,45,31,4,15,0.267,2,5,0.4,2007,28,131,2,18,26,0.6923076923076923,319,2,0,136.538,311,442,1,8,2,2,2,7,79,21,3,9,0.333,0,0,0.0,1593,0
16,76,0,28,51,0.5490196078431373,332,3,3,70.057,319,395,1,13,1,0,3,10,82,20,3,11,0.273,1,1,1.0,1496,41,160,2,21,33,0.6363636363636364,291,2,0,112.058,289,449,1,2,1,0,0,5,50,22,12,21,0.571,0,0,0.0,2104,0
27,126,0,14,21,0.6666666666666666,135,1,0,100.298,133,259,1,2,3,1,1,8,57,15,3,10,0.3,1,1,1.0,1437,29,90,1,31,47,0.6595744680851063,337,1,1,85.151,334,424,2,3,2,1,2,6,94,27,14,19,0.737,0,0,0.0,2163,0
26,153,4,21,28,0.75,321,0,1,97.47,304,457,2,17,2,1,2,5,30,24,2,7,0.286,3,4,0.75,1633,23,73,1,27,36,0.75,337,3,0,131.366,324,397,2,13,0,0,0,5,36,21,9,13,0.692,0,0,0.0,1967,0
28,165,1,28,36,0.7777777777777778,264,2,0,115.741,255,420,2,9,1,1,1,5,51,24,7,15,0.467,3,3,1.0,2108,20,60,1,22,37,0.5945945945945946,267,1,0,90.709,254,314,2,13,1,1,1,4,48,19,6,12,0.5,1,3,0.333,1492,1
39,171,0,15,21,0.7142857142857143,151,5,0,131.151,151,322,0,0,0,0,0,6,36,22,5,10,0.5,2,2,1.0,2076,15,43,0,20,35,0.5714285714285714,201,0,2,49.821,186,229,2,15,1,1,3,5,33,14,1,10,0.1,2,3,0.667,1524,1
30,125,0,29,39,0.7435897435897436,281,1,0,102.618,268,393,1,13,4,2,2,8,84,24,11,16,0.688,0,0,0.0,2203,23,74,1,16,27,0.5925925925925926,202,1,1,79.552,185,259,2,17,0,0,1,5,28,16,4,11,0.364,0,0,0.0,1397,0
26,134,2,29,40,0.725,216,0,1,74.583,188,322,3,28,1,1,2,3,35,24,5,11,0.455,0,4,0.0,2114,23,74,1,20,26,0.7692307692307693,321,3,0,156.09,312,386,1,9,0,0,0,4,36,18,6,11,0.545,1,1,1.0,1486,0
21,82,2,34,56,0.6071428571428571,435,2,1,89.509,409,491,3,26,1,0,1,10,62,26,7,15,0.467,0,1,0.0,2048,34,189,2,19,30,0.6333333333333333,235,1,0,98.611,217,406,3,18,4,2,2,5,71,20,3,12,0.25,1,2,0.5,1934,1
22,87,1,34,46,0.7391304347826086,336,2,1,99.547,320,407,1,16,0,0,1,9,80,25,4,13,0.308,2,2,1.0,1696,28,163,1,22,32,0.6875,249,1,0,102.214,228,391,4,21,0,0,0,11,81,21,4,12,0.333,0,0,0.0,1904,1
30,143,3,17,33,0.5151515151515151,179,2,1,75.189,171,314,1,8,2,1,2,6,53,21,7,13,0.538,1,1,1.0,1706,20,71,0,25,44,0.5681818181818182,182,0,1,57.197,145,216,6,37,3,2,3,9,83,13,8,18,0.444,0,4,0.0,1894,1
17,48,1,11,22,0.5,111,0,2,26.894,80,128,4,31,0,0,2,11,115,6,2,11,0.182,0,2,0.0,1288,33,89,1,26,38,0.6842105263157895,305,2,1,99.123,294,383,2,11,1,0,1,5,49,28,8,15,0.533,0,0,0.0,2312,0
34,123,0,15,24,0.625,116,1,1,70.833,83,206,3,33,1,0,1,8,70,16,6,15,0.4,0,1,0.0,1881,20,69,0,19,30,0.6333333333333333,207,2,3,66.25,179,248,5,28,1,1,4,4,57,14,6,13,0.462,0,1,0.0,1719,1
34,156,3,19,21,0.9047619047619048,213,1,1,104.96,199,355,2,14,3,1,2,5,62,22,4,9,0.444,0,0,0.0,2105,28,82,1,18,29,0.6206896551724138,227,2,1,95.043,220,302,1,7,2,1,2,9,78,17,8,14,0.571,0,0,0.0,1495,1
26,109,0,22,36,0.6111111111111112,272,1,2,70.602,245,354,3,27,0,0,2,3,25,22,5,11,0.455,0,1,0.0,1892,29,101,1,19,30,0.6333333333333333,278,2,1,101.806,270,371,1,8,2,1,2,2,15,21,3,9,0.333,0,1,0.0,1708,0
30,96,0,26,34,0.7647058823529411,328,2,0,125.613,302,398,3,26,0,0,0,10,101,22,2,11,0.182,2,2,1.0,2332,16,75,0,14,33,0.42424242424242425,118,1,2,37.184,114,189,1,4,0,0,2,7,70,12,4,11,0.364,1,1,1.0,1268,1
