team1_rush_att,team1_rush_yds,team1_rush_tds,team1_pass_cmp,team1_pass_att,team1_pass_cmp_pct,team1_pass_tds,team1_passer_rating,team1_net_pass_yds,team1_total_yds,team1_times_sacked,team1_fumbles,team1_penalties,team1_penalty_yds,team1_first_downs,team1_third_down_conv,team1_third_down_att,team1_third_down_conv_pct,team1_fourth_down_conv,team1_fourth_down_att,team1_fourth_down_conv_pct,team1_time_of_possession,team2_rush_att,team2_rush_tds,team2_pass_cmp,team2_pass_att,team2_pass_cmp_pct,team2_pass_tds,team2_passer_rating,team2_times_sacked,team2_fumbles,team2_penalties,team2_penalty_yds,team2_first_downs,team2_third_down_conv,team2_third_down_att,team2_third_down_conv_pct,team2_fourth_down_conv,team2_fourth_down_att,team2_fourth_down_conv_pct,team2_time_of_possession,team1_win
25,121,1,26,31,0.839,3,111.962,292,413,2,2,5,35,23,9,10,0.9,0,0,0.0,1874,18,0,29,41,0.707,1,63.059,7,1,4,30,19,6,13,0.462,2,3,0.667,1726,1
19,151,1,23,34,0.676,2,111.029,234,385,4,1,8,99,18,4,13,0.308,0,0,0.0,1576,38,2,20,33,0.606,0,79.735,0,3,8,55,26,5,13,0.385,0,0,0.0,2024,1
39,217,1,18,34,0.529,1,74.02,138,355,1,1,9,71,23,8,18,0.444,1,2,0.5,2306,19,2,16,27,0.593,1,84.645,4,5,8,96,15,4,11,0.364,0,0,0.0,1294,1
37,99,1,8,17,0.471,2,85.662,105,204,2,0,3,24,15,5,14,0.357,0,0,0.0,1592,37,1,13,28,0.464,0,50.298,2,2,12,99,17,8,17,0.471,0,2,0.0,2008,1
34,133,0,33,53,0.623,2,61.675,299,432,7,2,4,27,32,8,16,0.5,1,3,0.333,2622,22,0,21,38,0.553,1,78.18,1,1,8,59,13,4,15,0.267,0,0,0.0,1578,0
38,177,1,32,50,0.64,1,83.083,340,517,2,5,7,89,33,6,15,0.4,0,1,0.0,2377,28,0,23,37,0.622,2,98.93,3,1,6,40,20,5,15,0.333,0,0,0.0,1823,0
28,181,3,21,37,0.568,2,80.349,205,386,1,1,7,65,23,9,14,0.643,1,1,1.0,1706,39,4,18,32,0.562,0,80.599,1,0,10,61,27,10,17,0.588,2,3,0.667,1894,0
28,85,0,27,41,0.659,4,100.965,305,390,1,1,6,63,26,7,10,0.7,0,0,0.0,2013,18,1,24,42,0.571,1,75.0,2,1,13,90,24,3,12,0.25,0,1,0.0,1587,1
22,78,0,21,30,0.7,1,87.222,193,271,2,2,3,15,17,4,9,0.444,0,1,0.0,1650,23,0,23,33,0.697,1,104.356,3,2,4,20,18,6,14,0.429,1,1,1.0,1950,0
17,83,0,37,59,0.627,1,74.753,297,380,3,2,6,81,24,2,14,0.143,3,4,0.75,1950,21,0,17,30,0.567,3,98.333,2,1,5,29,13,5,13,0.385,0,0,0.0,1650,0
